bigram,tfidf_sum
feel like,856.4591040021021
don't know,457.01323340131887
don know,421.1315687377153
just want,405.7458751144623
don't want,307.4205891017858
don want,286.692750200175
feels like,266.0515659375287
just feel,263.12326612009133
i'm just,236.0251122225998
like i'm,204.45778607252595
mental health,200.43637587928433
dont know,176.25338945209913
want die,175.59323421969557
felt like,161.1153464514703
makes feel,147.48004897873096
years ago,143.78761115975337
high school,142.57798246387878
just don't,137.8520614636138
feel better,136.7134501626984
feeling like,136.58808682922802
